family,scope,dataset_scope,model_scope,effect,estimand,kind,n_subjects_total,n_subjects_available,n_subjects_unavailable,n_datasets_total,n_datasets_available,n_seeds_expected,n_models_expected,n_models_available_min,n_models_available_max,model_availability_policy,n_seeds_available_min,n_seeds_available_max,draws,estimate,ci_low,ci_high,n_subjects,n_datasets,sign_flip_two_sided_p,undefined_reason,estimand_population,holm_adjusted_p,multiplicity_family,n_hypotheses_planned,n_hypotheses_testable
temporal_overlap_supplement,model,all,extra_trees,leakage_reduced_protocol_ece_15,leakage_reduced_protocol_ece_15,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.006631178234732821,-0.0005693029352523325,0.01303977800013411,30,1,0.07098580283943211,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.28394321135772843,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,hist_gradient_boosting,leakage_reduced_protocol_ece_15,leakage_reduced_protocol_ece_15,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.021929394065909817,0.011674937411374205,0.03402270134797838,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,logistic,leakage_reduced_protocol_ece_15,leakage_reduced_protocol_ece_15,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.008284752676198338,0.0033148504503255414,0.014144946250656158,30,1,0.0033993201359728054,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.020395920815836834,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,random_forest,leakage_reduced_protocol_ece_15,leakage_reduced_protocol_ece_15,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.002431828898847022,-0.0032494597360440197,0.008076471739464778,30,1,0.40411917616476706,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.8082383523295341,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,dataset,uci_har,all,leakage_reduced_protocol_ece_15,leakage_reduced_protocol_ece_15,contrast,30,30,0,1,1,1,5,5,5,all_required_models,1,1,5000,0.014208171911833068,0.009550139098664695,0.02025008424829281,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model_dataset,uci_har,cnn1d,leakage_reduced_protocol_ece_15,leakage_reduced_protocol_ece_15,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.03176370568347735,0.019298311154300578,0.04862028319897457,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model_dataset,uci_har,extra_trees,leakage_reduced_protocol_ece_15,leakage_reduced_protocol_ece_15,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.006631178234732821,-0.0005693029352523325,0.01303977800013411,30,1,0.07098580283943211,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.28394321135772843,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model_dataset,uci_har,hist_gradient_boosting,leakage_reduced_protocol_ece_15,leakage_reduced_protocol_ece_15,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.021929394065909817,0.011674937411374205,0.03402270134797838,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model_dataset,uci_har,logistic,leakage_reduced_protocol_ece_15,leakage_reduced_protocol_ece_15,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.008284752676198338,0.0033148504503255414,0.014144946250656158,30,1,0.0033993201359728054,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.020395920815836834,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model_dataset,uci_har,random_forest,leakage_reduced_protocol_ece_15,leakage_reduced_protocol_ece_15,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.002431828898847022,-0.0032494597360440197,0.008076471739464778,30,1,0.40411917616476706,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.8082383523295341,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,pooled,all,all,leakage_reduced_protocol_macro_f1,leakage_reduced_protocol_macro_f1,contrast,30,30,0,1,1,1,5,5,5,all_required_models,1,1,5000,-0.024230135125722904,-0.033828229661202254,-0.015695549087489397,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,cnn1d,leakage_reduced_protocol_macro_f1,leakage_reduced_protocol_macro_f1,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,-0.03679645723570948,-0.056452620695763574,-0.01962269863013325,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,extra_trees,leakage_reduced_protocol_macro_f1,leakage_reduced_protocol_macro_f1,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,-0.02131158226151578,-0.0302367034826623,-0.013494652609039856,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,hist_gradient_boosting,leakage_reduced_protocol_macro_f1,leakage_reduced_protocol_macro_f1,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,-0.025225181790637378,-0.03714566475871028,-0.015051393537451883,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,logistic,leakage_reduced_protocol_macro_f1,leakage_reduced_protocol_macro_f1,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,-0.014223381472530898,-0.020946967477422546,-0.008488954721319518,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,random_forest,leakage_reduced_protocol_macro_f1,leakage_reduced_protocol_macro_f1,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,-0.023594072868220985,-0.032080983811630596,-0.015909246048938674,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,dataset,uci_har,all,leakage_reduced_protocol_macro_f1,leakage_reduced_protocol_macro_f1,contrast,30,30,0,1,1,1,5,5,5,all_required_models,1,1,5000,-0.024230135125722904,-0.033828229661202254,-0.015695549087489397,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model_dataset,uci_har,cnn1d,leakage_reduced_protocol_macro_f1,leakage_reduced_protocol_macro_f1,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,-0.03679645723570948,-0.056452620695763574,-0.01962269863013325,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model_dataset,uci_har,extra_trees,leakage_reduced_protocol_macro_f1,leakage_reduced_protocol_macro_f1,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,-0.02131158226151578,-0.0302367034826623,-0.013494652609039856,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model_dataset,uci_har,hist_gradient_boosting,leakage_reduced_protocol_macro_f1,leakage_reduced_protocol_macro_f1,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,-0.025225181790637378,-0.03714566475871028,-0.015051393537451883,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model_dataset,uci_har,logistic,leakage_reduced_protocol_macro_f1,leakage_reduced_protocol_macro_f1,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,-0.014223381472530898,-0.020946967477422546,-0.008488954721319518,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model_dataset,uci_har,random_forest,leakage_reduced_protocol_macro_f1,leakage_reduced_protocol_macro_f1,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,-0.023594072868220985,-0.032080983811630596,-0.015909246048938674,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,pooled,all,all,leakage_reduced_protocol_nll,leakage_reduced_protocol_nll,contrast,30,30,0,1,1,1,5,5,5,all_required_models,1,1,5000,0.08362849682125387,0.04733463027282968,0.13082685523623397,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,cnn1d,leakage_reduced_protocol_nll,leakage_reduced_protocol_nll,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.12221390199317271,0.04573730721378142,0.23659187249359823,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,extra_trees,leakage_reduced_protocol_nll,leakage_reduced_protocol_nll,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.04612676119247372,0.03825675056087392,0.05469117123544573,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,hist_gradient_boosting,leakage_reduced_protocol_nll,leakage_reduced_protocol_nll,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.15080742861826563,0.07411867612185473,0.24614051515979804,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,logistic,leakage_reduced_protocol_nll,leakage_reduced_protocol_nll,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.053730316231954775,0.024664467747370463,0.08948925885350544,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model,all,random_forest,leakage_reduced_protocol_nll,leakage_reduced_protocol_nll,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.0452640760704025,0.03592568546293264,0.055940887889155244,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,dataset,uci_har,all,leakage_reduced_protocol_nll,leakage_reduced_protocol_nll,contrast,30,30,0,1,1,1,5,5,5,all_required_models,1,1,5000,0.08362849682125387,0.04733463027282968,0.13082685523623397,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model_dataset,uci_har,cnn1d,leakage_reduced_protocol_nll,leakage_reduced_protocol_nll,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.12221390199317271,0.04573730721378142,0.23659187249359823,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model_dataset,uci_har,extra_trees,leakage_reduced_protocol_nll,leakage_reduced_protocol_nll,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.04612676119247372,0.03825675056087392,0.05469117123544573,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model_dataset,uci_har,hist_gradient_boosting,leakage_reduced_protocol_nll,leakage_reduced_protocol_nll,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.15080742861826563,0.07411867612185473,0.24614051515979804,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model_dataset,uci_har,logistic,leakage_reduced_protocol_nll,leakage_reduced_protocol_nll,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.053730316231954775,0.024664467747370463,0.08948925885350544,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
temporal_overlap_supplement,model_dataset,uci_har,random_forest,leakage_reduced_protocol_nll,leakage_reduced_protocol_nll,contrast,30,30,0,1,1,1,1,1,1,all_required_models,1,1,5000,0.0452640760704025,0.03592568546293264,0.055940887889155244,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
