family,scope,dataset_scope,model_scope,effect,estimand,kind,n_subjects_total,n_subjects_available,n_subjects_unavailable,n_datasets_total,n_datasets_available,n_seeds_expected,n_models_expected,n_models_available_min,n_models_available_max,model_availability_policy,n_seeds_available_min,n_seeds_available_max,draws,estimate,ci_low,ci_high,n_subjects,n_datasets,sign_flip_two_sided_p,undefined_reason,estimand_population,holm_adjusted_p,multiplicity_family,n_hypotheses_planned,n_hypotheses_testable
expanded_secondary,dataset,wisdm_watch_accel,all,calibration_iso_ece_15,calibration_iso_ece_15,contrast,50,50,0,1,1,10,5,5,5,all_required_models,10,10,5000,-0.020379063612859107,-0.030741817158868413,-0.011117839047852572,50,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.05398920215956808,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,uci_har,all,calibration_iso_macro_f1,calibration_iso_macro_f1,contrast,30,30,0,1,1,10,5,5,5,all_required_models,10,10,5000,-0.00364477852125054,-0.009235280044438575,0.001880694219266527,30,1,0.20775844831033793,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,wisdm_watch_accel,all,calibration_iso_macro_f1,calibration_iso_macro_f1,contrast,50,50,0,1,1,10,5,5,5,all_required_models,10,10,5000,-0.004743316922698178,-0.007295493136717059,-0.002219110500594438,50,1,0.0009998000399920016,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.10897820435912817,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,uci_har,all,calibration_temp_brier,calibration_temp_brier,contrast,30,30,0,1,1,10,5,5,5,all_required_models,10,10,5000,-0.013664661558382692,-0.017399848443802723,-0.009661722843417254,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.05398920215956808,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,wisdm_watch_accel,all,calibration_temp_brier,calibration_temp_brier,contrast,50,50,0,1,1,10,5,5,5,all_required_models,10,10,5000,0.03559645875046631,0.01145497378191388,0.05770360395318731,50,1,0.00599880023995201,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.599880023995201,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,uci_har,all,calibration_temp_ece_15,calibration_temp_ece_15,contrast,30,30,0,1,1,10,5,5,5,all_required_models,10,10,5000,-0.02888677665380499,-0.03673610664133377,-0.020252826842999148,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.05398920215956808,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,wisdm_watch_accel,all,calibration_temp_ece_15,calibration_temp_ece_15,contrast,50,50,0,1,1,10,5,5,5,all_required_models,10,10,5000,0.04928117951315089,0.01936565683737266,0.07786602418586792,50,1,0.002599480103979204,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.27294541091781643,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,uci_har,all,calibration_temp_macro_f1,calibration_temp_macro_f1,contrast,30,30,0,1,1,10,5,5,5,all_required_models,10,10,5000,0.0,0.0,0.0,30,1,1.0,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
expanded_secondary,dataset,wisdm_watch_accel,all,calibration_temp_macro_f1,calibration_temp_macro_f1,contrast,50,50,0,1,1,10,5,5,5,all_required_models,10,10,5000,0.0,0.0,0.0,50,1,1.0,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,1.0,all_reported_expanded_secondary_contrasts_including_supplementary_scopes,270,270
temporal_overlap_supplement,dataset,uci_har,all,leakage_reduced_protocol_brier,leakage_reduced_protocol_brier,contrast,30,30,0,1,1,1,5,5,5,all_required_models,1,1,5000,0.037080763884019895,0.024131984919490028,0.05258881396145204,30,1,0.0001999600079984003,defined,available participants within each dataset; model_availability_policy explicitly recorded; available repeated-seed values averaged within model,0.009598080383923215,all_temporal_overlap_supplement_contrasts,48,48
