dataset,model,protocol,method,representation,accuracy,macro_f1,brier,nll,ece_15,confidence_gap,mean_confidence,overconfidence_positive_gap,overconfidence_negative_gap,aurc,error,n_subjects_total,n_subjects_available_accuracy,n_subjects_available_macro_f1,n_subjects_available_brier,n_subjects_available_nll,n_subjects_available_ece_15,n_subjects_available_confidence_gap,n_subjects_available_mean_confidence,n_subjects_available_overconfidence_positive_gap,n_subjects_available_overconfidence_negative_gap,n_subjects_available_aurc,n_subjects_available_error
uci_har,cnn1d,leakage_reduced_mixed,iso,raw_sensor_windows,0.9294226918220587,0.9269203680889362,0.10620362705985283,0.6304123973180147,0.06625579378797104,0.018405788423834876,0.9478284802458937,0.03473163207925952,-0.01632584365542464,0.01865596599739881,0.07057730817794122,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,cnn1d,leakage_reduced_mixed,raw,raw_sensor_windows,0.9313519808356613,0.9326541852067955,0.10209201560841742,0.20459631844772874,0.055191804257345156,0.013319819050563297,0.9446717998862246,0.0291043787814015,-0.015784559730838203,0.014614853296287438,0.06864801916433866,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,cnn1d,leakage_reduced_mixed,temp,raw_sensor_windows,0.9313519808356613,0.9326541852067955,0.10034561041118421,0.2408616918988091,0.059392451608268546,0.002433467839762149,0.9337854486754236,0.02301138888234396,-0.020577921042581812,0.02038898020886812,0.06864801916433866,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,cnn1d,sample_mixed,iso,raw_sensor_windows,0.9681039666297072,0.9691221394935822,0.046887330899881084,0.10590923562734382,0.022704810216192636,0.0035286390812415613,0.9716326057109488,0.010708311882149204,-0.007179672800907643,0.0036283674549931035,0.031896033370292766,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,cnn1d,sample_mixed,raw,raw_sensor_windows,0.9679684131788174,0.9689498574487733,0.04726614315183098,0.08217297784306596,0.023505569278437197,-0.0006405276897275393,0.9673278854890898,0.00941280248218876,-0.010053330171916302,0.0029107357367806194,0.03203158682118261,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,cnn1d,sample_mixed,temp,raw_sensor_windows,0.9679684131788174,0.9689498574487733,0.047222795285034765,0.08234070827325056,0.02336717597816742,-0.0001312568239621464,0.9678371563548552,0.009579219710100544,-0.00971047653406269,0.0029178764572990712,0.03203158682118261,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,cnn1d,subject_disjoint,iso,raw_sensor_windows,0.9111080283273403,0.9071190110845871,0.14503203635282508,1.0045494185016155,0.08488826131816214,0.035588014728758256,0.9466960430560986,0.05299319853246455,-0.017405183803706294,0.05163938986883128,0.08889197167265975,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,cnn1d,subject_disjoint,raw,raw_sensor_windows,0.9158785299060835,0.9113297067824689,0.13367955910425983,0.2707936769183595,0.07530789893589838,0.02203556640023309,0.9379140963063167,0.04091668633695967,-0.01888111993672658,0.023736572484857468,0.0841214700939164,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,cnn1d,subject_disjoint,temp,raw_sensor_windows,0.9158785299060835,0.9113297067824689,0.1371736404542282,0.3151446935709446,0.08797422724144828,0.006981644129506639,0.9228601740355902,0.03986770931379759,-0.03288606518429096,0.023653924196916417,0.0841214700939164,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,iso,V1_official_features,0.9574340412696232,0.9568075477029621,0.06432447421859763,0.22515676792014422,0.02468179458577459,0.005450388842037016,0.9628844301116601,0.012466480506244463,-0.007016091664207446,0.009000618410004177,0.04256595873037688,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,raw,V1_official_features,0.9589197389019297,0.9587845464333555,0.0966858014717815,0.21315970874235352,0.12481547853945954,-0.12306068561617055,0.8358590532857592,0.0,-0.12306068561617055,0.004789099394806514,0.04108026109807033,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,extra_trees,leakage_reduced_mixed,temp,V1_official_features,0.9589197389019297,0.9587845464333555,0.059073861718320415,0.10187820849084209,0.02173788288020955,0.0017462514573614806,0.9606659903592912,0.009676611388372329,-0.007930359931010848,0.004520750856358676,0.04108026109807033,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,extra_trees,sample_mixed,iso,V1_official_features,0.9819229303962727,0.9819870730627823,0.02781710936080612,0.10289073027627814,0.009817886768514326,0.002684646873650395,0.984607577269923,0.0049532269636984394,-0.0022685800900480446,0.0027938194046816084,0.01807706960372742,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,extra_trees,sample_mixed,raw,V1_official_features,0.9817747639243866,0.9819071149642159,0.06703368814627458,0.16702404107242036,0.12003226607479241,-0.11969181656495216,0.8620829473594344,0.0,-0.11969181656495216,0.0011046105358983066,0.01822523607561348,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,extra_trees,sample_mixed,temp,V1_official_features,0.9817747639243866,0.9819071149642159,0.02698268962490004,0.047343150956743726,0.009235517488054934,0.0005335755369734081,0.98230833946136,0.003857788007066297,-0.0033242124700928887,0.0010220114960388204,0.01822523607561348,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,extra_trees,subject_disjoint,iso,V1_official_features,0.9379064442005891,0.9323756583615286,0.09908758097788063,0.4270211249543936,0.045031455231556154,0.014137148602824952,0.952043592803414,0.023896563220143108,-0.009759414617318154,0.016362422898126235,0.062093555799410935,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,extra_trees,subject_disjoint,raw,V1_official_features,0.9379788961071754,0.9328526123365646,0.1359474791367197,0.2793133999597638,0.14352670883489216,-0.13874578006209334,0.7992331160450821,0.0,-0.13874578006209334,0.012022473274282882,0.06202110389282459,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,extra_trees,subject_disjoint,temp,V1_official_features,0.9379788961071754,0.9328526123365646,0.09376512854419011,0.16817042490464168,0.03928248404241619,0.0015711800715772278,0.9395500761787526,0.018143594699002338,-0.01657241462742511,0.011182008163370975,0.06202110389282459,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,hist_gradient_boosting,leakage_reduced_mixed,iso,V1_official_features,0.9599989511725548,0.9607142009172089,0.058051162426369735,0.21437728915752227,0.026262368940290343,0.008247001698869624,0.9682459528714245,0.01479691185490238,-0.006549910156032757,0.007374759923291901,0.040001048827445124,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,hist_gradient_boosting,leakage_reduced_mixed,raw,V1_official_features,0.9628141841674901,0.9639235468199995,0.06425679766331878,0.19106407883706694,0.029095593495572492,0.028738197895573105,0.9915523820630632,0.028831056399203518,-9.285850363041081e-05,0.004682930602709208,0.0371858158325099,30,30,30,30,30,30,30,30,30,30,30,30
uci_har,hist_gradient_boosting,leakage_reduced_mixed,temp,V1_official_features,0.9628141841674901,0.9639235468199995,0.05718571354253404,0.11027737938545952,0.026157599616872432,0.0064121229468556175,0.9692263071143457,0.014219296581915434,-0.007807173635059816,0.004515235210713564,0.0371858158325099,30,30,30,30,30,30,30,30,30,30,30,30
