dataset,metric,model,sample_mixed_value,sample_mixed_rank,subject_disjoint_value,subject_disjoint_rank,rank_change_disjoint_minus_mixed,spearman_rank_correlation_all_5_models,spearman_rank_correlation_4_classical_models,inferential,note
wisdm_watch_accel,brier,hist_gradient_boosting,0.224231481819653,1.0,0.5298645011205964,3.0,2.0,0.49999999999999994,0.19999999999999998,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
wisdm_watch_accel,brier,logistic,0.401357750703337,5.0,0.5535911092705992,4.0,-1.0,0.49999999999999994,0.19999999999999998,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
wisdm_watch_accel,brier,random_forest,0.2897485309975088,3.0,0.4894384478606263,1.0,-2.0,0.49999999999999994,0.19999999999999998,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
wisdm_watch_accel,nll,cnn1d,0.7164046536569173,4.0,1.754555032557843,4.0,0.0,0.9999999999999999,1.0,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
wisdm_watch_accel,nll,extra_trees,0.705930746225244,3.0,1.5722948779707493,3.0,0.0,0.9999999999999999,1.0,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
wisdm_watch_accel,nll,hist_gradient_boosting,0.525544648431063,1.0,1.4832259053056434,1.0,0.0,0.9999999999999999,1.0,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
wisdm_watch_accel,nll,logistic,0.937167182456588,5.0,1.813025108229341,5.0,0.0,0.9999999999999999,1.0,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
wisdm_watch_accel,nll,random_forest,0.7040710973082059,2.0,1.4903064972610764,2.0,0.0,0.9999999999999999,1.0,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
wisdm_watch_accel,ece_15,cnn1d,0.0801704065417667,2.0,0.1727335372876389,4.0,2.0,-0.7,-0.39999999999999997,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
wisdm_watch_accel,ece_15,extra_trees,0.1576788205544088,5.0,0.1536804607201891,3.0,-2.0,-0.7,-0.39999999999999997,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
wisdm_watch_accel,ece_15,hist_gradient_boosting,0.0526378471982129,1.0,0.184349005480647,5.0,4.0,-0.7,-0.39999999999999997,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
wisdm_watch_accel,ece_15,logistic,0.0883698587157844,3.0,0.1438767398438454,2.0,-1.0,-0.7,-0.39999999999999997,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
wisdm_watch_accel,ece_15,random_forest,0.155981937490961,4.0,0.1412119630285823,1.0,-3.0,-0.7,-0.39999999999999997,False,"Descriptive only; CNN representation differs from classical features, especially for WISDM."
