effect,n_seeds_planned,n_seeds_available,mean,sd,median,iqr,q025,q975,direction_consistency
protocol_macro_f1,10,10,-0.12699236274632028,0.004018732867169982,-0.12784230453739692,0.005135235194003121,-0.1331095818377514,-0.12086632083790869,1.0
protocol_brier,10,10,0.15719442508901454,0.004480925142524662,0.15697907972088881,0.003941089990296243,0.1494679843873378,0.1628412707165995,1.0
protocol_nll,10,10,0.5459229583976535,0.031064241917067054,0.5471220440771007,0.04565330029253245,0.5039929209711413,0.5925513139751983,1.0
protocol_ece_15,10,10,0.0423866168010332,0.001530526783005662,0.04221321184470793,0.0021772002177972566,0.040241650107419924,0.04469500551953144,1.0
calibration_iso_brier,10,10,-0.010265818386272652,0.0012899648296092283,-0.009816651632189694,0.002143196031259332,-0.012231432315414317,-0.008962198317283744,1.0
calibration_temp_brier,10,10,0.010965898596041808,0.0019096627967132636,0.010428218135197814,0.002402952536254674,0.008518821109521952,0.014120955812585427,1.0
selective80_raw,10,10,-0.056452506663648115,0.0016268625426178313,-0.05616270197437201,0.002422871085184568,-0.05846834321508747,-0.0540058091839249,1.0
