effect,estimate,ci_low,ci_high,sign_flip_two_sided_p,holm_adjusted_p,family,n_subjects_total,n_subjects_unavailable,n_hypotheses_planned,n_hypotheses_testable,n_seeds_expected
protocol_macro_f1,-0.10916527163266188,-0.1360015331582486,-0.0861711418872744,0.0001999600079984003,0.0007998400319936012,primary_v1_classical_four_models,80,0,4,4,1
protocol_brier,0.13800600194200185,0.10915868982203276,0.17394711328286705,0.0001999600079984003,0.0007998400319936012,primary_v1_classical_four_models,80,0,4,4,1
calibration_temp_brier,0.0077170523859251515,-0.007706221874115399,0.023133075647884725,0.3567286542691462,0.3567286542691462,primary_v1_classical_four_models,80,0,4,4,1
selective80_temp,-0.05636804427709684,-0.06363528152588002,-0.049435770539329967,0.0001999600079984003,0.0007998400319936012,primary_v1_classical_four_models,80,0,4,4,1
