dataset,model,protocol,seed,representation,subject,n_windows,n_folds_contributed,method,accuracy,macro_f1,brier,nll,ece_15,confidence_gap,aurc,error,mean_confidence,overconfidence_positive_gap,overconfidence_negative_gap
uci_har,cnn1d,leakage_reduced_mixed,20260911,raw_sensor_windows,uci_01,347,5,raw,1.0,1.0,0.001159322113077994,0.009684864008605047,0.009366385703128078,-0.009366385703128088,0.0,0.0,0.9906336142968719,0.0,-0.009366385703128088
uci_har,cnn1d,leakage_reduced_mixed,20260911,raw_sensor_windows,uci_01,347,5,temp,1.0,1.0,0.001734643116809605,0.013191386799798038,0.012674563737465635,-0.01267456373746556,0.0,0.0,0.9873254362625344,0.0,-0.01267456373746556
uci_har,cnn1d,leakage_reduced_mixed,20260911,raw_sensor_windows,uci_01,347,5,iso,1.0,1.0,0.0006146062553593256,0.006559284396367166,0.006399887319971031,-0.006399887319971098,0.0,0.0,0.9936001126800289,0.0,-0.006399887319971098
uci_har,cnn1d,leakage_reduced_mixed,20260911,raw_sensor_windows,uci_02,302,5,raw,0.8940397350993378,0.873015873015873,0.13755715582709757,0.18647565528760382,0.08403578065089044,0.07262353983935932,0.007238065298758431,0.10596026490066224,0.9666632749386971,0.07262353983935932,0.0
uci_har,cnn1d,leakage_reduced_mixed,20260911,raw_sensor_windows,uci_02,302,5,temp,0.8940397350993378,0.873015873015873,0.14129460682126188,0.199037237759744,0.07698293079197778,0.0681729403590523,0.00793670647644824,0.10596026490066224,0.9622126754583901,0.0681729403590523,0.0
uci_har,cnn1d,leakage_reduced_mixed,20260911,raw_sensor_windows,uci_02,302,5,iso,0.8973509933774835,0.8781302826591185,0.13504722137517927,0.21756024674631802,0.0717726954940205,0.06557215076675016,0.011060754239833158,0.10264900662251653,0.9629231441442336,0.06557215076675016,0.0
uci_har,cnn1d,leakage_reduced_mixed,20260911,raw_sensor_windows,uci_03,341,5,raw,0.9794721407624634,0.9786909638703104,0.02872744702989435,0.0560311237671054,0.01893147520305823,-0.018931475203058268,0.00041916403836251507,0.02052785923753664,0.9605406655594051,0.0,-0.018931475203058268
uci_har,cnn1d,leakage_reduced_mixed,20260911,raw_sensor_windows,uci_03,341,5,temp,0.9794721407624634,0.9786909638703104,0.027543618709073455,0.054639218660967916,0.015203490227413602,-0.011527823180388919,0.000535324267633007,0.02052785923753664,0.9679443175820744,0.0,-0.011527823180388919
uci_har,cnn1d,leakage_reduced_mixed,20260911,raw_sensor_windows,uci_03,341,5,iso,0.9794721407624634,0.9786909638703104,0.028212134333906583,0.046305621165741946,0.012382583592516361,-0.001413205704948295,0.0005497361866697566,0.02052785923753664,0.9780589350575151,0.0,-0.001413205704948295
uci_har,cnn1d,leakage_reduced_mixed,20260911,raw_sensor_windows,uci_04,317,5,raw,0.9085173501577287,0.9081711420200264,0.14057156756902034,0.2204435519532297,0.039405242501749226,0.011621306747292115,0.01504252592997135,0.09148264984227128,0.9201386569050208,0.011621306747292115,0.0
uci_har,cnn1d,leakage_reduced_mixed,20260911,raw_sensor_windows,uci_04,317,5,temp,0.9085173501577287,0.9081711420200264,0.1314063292940349,0.20433420827995363,0.026988417434821124,-0.0033279797111626097,0.014437312504259876,0.09148264984227128,0.9051893704465661,0.0,-0.0033279797111626097
